DisputeStage,DisputeStatus,DisputeId,DueDate,DisputeTime,CardScheme,CardType,ReasonCode,ReasonCategory,ReasonMsg,ChargebackTxnAmount,MerchantUserId,TransactionChannel,TransactionTime,ChargebackAmount,ChargebackTxnCurrency,RefundPayType,WinRate,ARN,CardNumberMasked,CardBIN,CardFundingType,IssuerName,IssuerCountry,NetworkReasonCode,ChargebackReceivedDate,ChargebackCaseRef,RepresentmentDeadline,IsSecondPresentment,ProcessorName,AcquirerName,AcquirerMID,PaymentTransactionId,PspReferenceId,AuthorizationCode,PaymentMethod,TransactionAmount,TransactionCurrency,TransactionStatus,SettlementDate,AvsResult,CvvResult,ThreeDSStatus,ThreeDSLiabilityShift,DeviceIp,DeviceType,RefundIssued,RefundAmount,RefundDate,OrderId,OrderDate,ProductName,ProductCategory,Sku,Quantity,UnitPrice,OrderTotalAmount,OrderCurrency,OrderStatus,DeliveryStatus,ShippingCarrier,TrackingNumber,ShipDate,EstimatedDeliveryDate,ActualDeliveryDate,ProofOfDelivery,DeliverySignedBy,DeliveryAddressLine1,DeliveryCity,DeliveryState,DeliveryPostalCode,DeliveryCountry,BillingShippingMatch,UserId,UserFullName,UserEmail,UserPhone,AccountCreatedDate,KycVerified,AccountStatus,TotalOrdersLifetime,TotalSpendLifetime,AvgOrderValue,LastOrderId,LastOrderDate,PreviousChargebackCount,PreviousChargebacksWon,DisputeRatePct,CustomerRiskTier
PRE_ARB,NEED_RESPONSE,881620934822,2026-10-18 00:00:00,2026-09-18 09:41:37,Discover,Credit,RG,Consumer Dispute,"Non-Receipt of Goods, Services, or Cash",275.9,7665434528917652489,Ahjkoiywebkbmxiykjsdfskjdhfsj,2026-06-14T03:36:51Z,145.06,IDR,"RefundToCredit, OriginalRefund",0.0004,224242343975174099973,601143XXXXXX8339,601143,Credit,Guaranty Trust Bank,NG,RG,2026-09-18,CBK-2026-200100,2026-10-18 00:00:00,Yes,Adyen,Adyen N.V.,MID948905644,TXN-20260614-02676822,ADY153290106609,850922,Card - Recurring,275.9,IDR,Captured,2026-06-17,N - No Match,M - Match,Y - Authenticated,Yes,147.65.229.241,Android App,Yes,275.9,2026-09-20,ORD-202606-100700,2026-06-14 03:00:50,Ergonomic Office Chair,Furniture,FUR-9554-NVY,1,275.9,275.9,IDR,Completed,Delivered,UPS,UP2025730436,2026-06-15,2026-06-20,2026-06-19,Yes - OTP Confirmed,N/A,"7 Aminu Kano Crescent, Wuse II",Abuja,FCT,900288,NG,Yes,7665434528917652489,Priya Putri,priya.putri@outlook.com,234053445367,2023-04-24,No,Under Review,25,4220.96,168.84,ORD-202601-654030,2026-01-19,1,0,4,Medium
PRE_ARB,NEED_RESPONSE,881620934823,2026-10-19 00:00:00,2026-09-19 20:46:22,Amex,Prepaid,A02,Authorization,No Valid Authorization,149.24,7665434528917652490,Ahjsgfskjaksldwuleurhjhjdhfsj,2026-07-14T20:18:57Z,76.4,IDR,RefundToCredit,0.0065,021396184145800945635,370426XXXXX1695,370426,Prepaid,Bank Mandiri,ID,A02,2026-09-19,CBK-2026-200101,2026-10-19 00:00:00,Yes,Adyen,Adyen N.V.,MID924062310,TXN-20260714-44846520,BRT349872374839,868400,Card - Ecom,149.24,IDR,Captured,2026-07-15,N - No Match,M - Match,Y - Authenticated,Yes,72.207.245.89,Mobile Web,Yes,149.24,2026-09-25,ORD-202607-100701,2026-07-14 18:56:01,Adjustable Dumbbell Set,Sports,SPT-7047-WHT,2,74.62,149.24,IDR,Completed,Delivered,GIG Logistics,DH3820805921,2026-07-14,2026-07-14,2026-07-14,Yes - Signature,Tunde Patel,221B Baker Street,London,Greater London,NW1 6XE,GB,Yes,7665434528917652490,Kavya Miller,kavya.miller@mail.com,44556703191,2025-05-30,No,Active,12,2377.4,198.12,ORD-202604-695203,2026-04-13,3,0,25,High
CB,NEED_RESPONSE,382061573960,2026-10-20 00:00:00,2026-09-20 20:46:25,Mastercard,Credit,4860,Consumer Dispute,Credit Not Processed,29.74,7665434528917652491,Ahjsgfskjaksldwuleurhjhjdhfsj,2026-07-08T04:26:41Z,22.66,NGN,OriginalRefund,0.0085,47046626128410331541127,578029XXXXXX5856,578029,Credit,Citibank,US,4860,2026-09-20,CBK-2026-200102,2026-10-20 00:00:00,Yes,Cybersource,Chase Paymentech,MID895738274,TXN-20260708-91764289,BRT203980771581,788327,Card - Ecom,29.74,NGN,Settled,2026-07-11,Y - Full Match,P - Not Processed,A - Attempted,No,54.71.238.162,Mobile Web,No,0,,ORD-202607-100702,2026-07-08 03:29:14,Vitamin C Serum,Beauty,BTY-1275-GRN,1,29.74,29.74,NGN,Completed,Delivered,UPS,DH6056296397,2026-07-09,2026-07-16,2026-07-18,Yes - OTP Confirmed,N/A,742 Evergreen Terrace,Springfield,IL,62704,US,Yes,7665434528917652491,Michael Santoso,michael.santoso@outlook.com,1213594370,2023-11-20,No,Under Review,46,9090.16,197.61,ORD-202604-728778,2026-04-16,2,1,4.35,High
CB,NEED_RESPONSE,610934827535,2026-10-21 00:00:00,2026-09-21 20:46:28,Amex,Credit,C04,Consumer Dispute,Goods/Services Returned or Refused,31.41,7665434528917652492,Ahjsgfskjaksldwuleurhjhjdhfsj,2026-07-18T18:58:08Z,31.41,NGN,"OriginalRefund, RefundToCredit, RefundToAnotherPlatformAccount",0.0006,62644767352003084807582,376860XXXXX4417,376860,Credit,Barclays,US,C04,2026-09-21,CBK-2026-200103,2026-10-21 00:00:00,No,PayU,PayU Payments Pvt Ltd,MID715238854,TXN-20260718-13947281,STR416794701395,008484,Card - Recurring,31.41,NGN,Settled,2026-07-19,Z - Zip Only,M - Match,Y - Authenticated,Yes,155.103.5.132,Android App,No,0,,ORD-202607-100703,2026-07-18 18:13:56,Smart Fitness Band,Electronics,ELC-8616-BLK,1,31.41,31.41,NGN,Completed,Delivered,J&T Express,FX3450116827,2026-07-21,2026-07-27,2026-07-28,Yes - Signature,Budi Adeyemi,"Jl. Sudirman No. 45, Apt 12B",Jakarta Selatan,DKI Jakarta,12190,ID,Yes,7665434528917652492,Ananya Santoso,ananya.santoso@mail.com,62888171943,2024-08-20,Yes,Suspended,33,1970.29,59.71,ORD-202604-786171,2026-04-08,1,1,3.03,Medium
RFI,NEED_RESPONSE,csv2novk38aeo6tk,2026-10-22 00:00:00,2026-09-22 11:12:04,Mastercard,Prepaid,4831,Processing Error,Transaction Amount Differs,78.73,7665434528917652493,Ahjkoiywebkbmxiykjsdfskjdhfsj,2026-08-29T10:50:12Z,34.98,NGN,RefundToCredit,0.0078,9808007156233455920103,561323XXXXXX4724,561323,Prepaid,Capital One,NG,4831,2026-09-22,CBK-2026-200104,2026-10-22 00:00:00,No,Nuvei,Nuvei Corporation,MID965789562,TXN-20260829-78772669,ADY674302834408,160970,Card - Recurring,78.73,NGN,Captured,2026-08-31,Y - Full Match,M - Match,Y - Authenticated,Yes,113.10.174.201,Mobile Web,Yes,78.73,2026-09-29,ORD-202608-100704,2026-08-29 09:39:06,Stainless Steel Cookware Set,Home & Kitchen,HNK-6782-BLK,1,78.73,78.73,NGN,Completed,Delivered,FedEx,BD9429997330,2026-08-31,2026-09-01,2026-09-02,Yes - Photo,N/A,18 Admiralty Way,"Lekki, Lagos",Lagos,106104,NG,Yes,7665434528917652493,Olivia Adeyemi,olivia.adeyemi@yahoo.com,234878934189,2024-12-06,Yes,Under Review,3,327.51,109.17,ORD-202603-650952,2026-03-07,3,2,100,High
CB,NEED_RESPONSE,382061573961,2026-10-23 00:00:00,2026-09-23 16:33:51,Mastercard,Debit,4855,Consumer Dispute,Goods or Services Not Provided,295.41,7665434528917652494,Ahjsgfskjaksldwuleurhjhjdhfsj,2026-06-22T16:16:42Z,156.18,NGN,"OriginalRefund, RefundToCredit, RefundToAnotherPlatformAccount",0.0005,88596708244336121981594,554701XXXXXX8214,554701,Debit,Klarna Bank AB,US,4855,2026-09-23,CBK-2026-200105,2026-10-23 00:00:00,No,Cybersource,Chase Paymentech,MID866781775,TXN-20260622-66055048,WLP273405283694,715804,BNPL,295.41,NGN,Settled,2026-06-23,A - Address Only,M - Match,Y - Authenticated,Yes,191.172.10.31,iOS App,Yes,295.41,2026-09-24,ORD-202606-100705,2026-06-22 15:48:31,Annual Streaming Subscription,Digital Goods,DIG-6662-GRN,3,98.47,295.41,NGN,Completed,Digital Delivery - Completed,N/A (Digital),N/A,2026-06-22,2026-06-22,2026-06-22,Email receipt + IP log,N/A,N/A (Digital),N/A (Digital),N/A (Digital),N/A (Digital),US,N/A,7665434528917652494,Priya Ibrahim,priya.ibrahim@gmail.com,1900206695,2025-02-26,No,Active,35,10791.17,308.32,ORD-202602-587390,2026-02-17,0,0,0,Low
RFI,NEED_RESPONSE,610934827536,2026-10-24 00:00:00,2026-09-24 07:58:19,Mastercard,Prepaid,4837,Fraud,No Cardholder Authorization,532.24,7665434528917652495,Ahjsgfskjaksldwuleurhjhjdhfsj,2026-08-22T14:28:48Z,342.51,IDR,RefundToCredit,0.0107,7204994206479376193506,597334XXXXXX2044,597334,Prepaid,Klarna Bank AB,NG,4837,2026-09-24,CBK-2026-200106,2026-10-24 00:00:00,Yes,PayU,PayU Payments Pvt Ltd,MID600996847,TXN-20260822-97616663,CKO635130286723,620442,BNPL,532.24,IDR,Captured,2026-08-25,Z - Zip Only,M - Match,A - Attempted,No,94.152.62.24,Desktop Web,Yes,532.24,2026-10-02,ORD-202608-100706,2026-08-22 13:37:34,Adjustable Dumbbell Set,Sports,SPT-9975-GRY,2,266.12,532.24,IDR,Completed,Delivered,UPS,UP9244561456,2026-08-22,2026-08-28,2026-08-28,Yes - Signature,Nadia Williams,"34 Orchard Road, #08-12",Singapore,Central,238867,SG,Yes,7665434528917652495,Chinedu Kumar,chinedu.kumar@gmail.com,65554916634,2024-01-22,Yes,Active,11,2146.33,195.12,ORD-202608-527177,2026-08-15,0,0,0,Low
CB,NEED_RESPONSE,4001928381,2026-10-25 00:00:00,2026-09-25 22:05:46,VISA,Credit,13.3,Consumer Dispute,Not as Described or Defective Merchandise/Services,52.2,7665434528917652496,Ahjsgfskjaksldwuleurhjhjdhfsj,2026-08-22T19:42:11Z,52.2,USD,"OriginalRefund, RefundToCredit, RefundToAnotherPlatformAccount",0.0066,0252820639963660873870,470078XXXXXX5243,470078,Credit,Citibank,NG,13.3,2026-09-25,CBK-2026-200107,2026-10-25 00:00:00,No,Stripe,Wells Fargo Bank N.A.,MID428241013,TXN-20260822-07970718,CKO082513741912,534397,Card - Recurring,52.2,USD,Settled,2026-08-23,Y - Full Match,N - No Match,Y - Authenticated,Yes,111.143.147.232,Android App,Yes,52.2,2026-09-30,ORD-202608-100707,2026-08-22 18:56:49,Mobile Game Coin Pack,Digital Goods,DIG-2458-RED,3,17.4,52.2,USD,Completed,Digital Delivery - Completed,N/A (Digital),N/A,2026-08-22,2026-08-22,2026-08-22,Email receipt + IP log,N/A,N/A (Digital),N/A (Digital),N/A (Digital),N/A (Digital),US,N/A,7665434528917652496,Arjun Williams,arjun.williams@outlook.com,1704630987,2023-10-29,No,Suspended,53,11562.61,218.16,ORD-202601-792248,2026-01-19,0,0,0,Low
PRE_ARB,NEED_RESPONSE,w2ytbwdey4ru8oak,2026-10-26 00:00:00,2026-09-26 09:41:37,Mastercard,Credit,4831,Processing Error,Transaction Amount Differs,179.62,7665434528917652497,Ahjsgfskjaksldwuleurhjhjdhfsj,2026-06-25T14:43:02Z,179.62,IDR,RefundToCredit,0.0051,32475331921291524174880,520044XXXXXX6658,520044,Credit,Bank Mandiri,NG,4831,2026-09-26,CBK-2026-200108,2026-10-26 00:00:00,No,Worldpay,Worldpay Inc.,MID718002527,TXN-20260625-09936045,BRT549522151133,193404,Card - Ecom,179.62,IDR,Captured,2026-06-27,Y - Full Match,N - No Match,Y - Authenticated,Yes,239.107.159.22,Mobile Web,Yes,179.62,2026-09-28,ORD-202606-100708,2026-06-25 13:56:44,Smart Fitness Band,Electronics,ELC-9405-BLK,2,89.81,179.62,IDR,Completed,Delivered,Aramex,FX1816882210,2026-06-27,2026-07-04,2026-07-04,Yes - Photo,N/A,"34 Orchard Road, #08-12",Singapore,Central,238867,SG,Yes,7665434528917652497,Ananya Okafor,ananya.okafor@gmail.com,65352452430,2022-06-01,No,Suspended,58,8294.21,143,ORD-202602-753805,2026-02-06,1,0,1.72,Medium
CB,NEED_RESPONSE,4001928382,2026-10-27 00:00:00,2026-09-27 20:46:22,VISA,Credit,12.5,Processing Error,Incorrect Transaction Amount,391.0,7665434528917652498,Ahjkoiywebkbmxiykjsdfskjdhfsj,2026-08-29T18:32:05Z,391,NGN,<UNSET>,0.0007,6494137777424529706768,408115XXXXXX3925,408115,Credit,Citibank,NG,12.5,2026-09-27,CBK-2026-200109,2026-10-27 00:00:00,No,Stripe,Wells Fargo Bank N.A.,MID785603154,TXN-20260829-21225290,CKO076391094774,854828,Card - Wallet Token,391,NGN,Settled,2026-08-31,Z - Zip Only,P - Not Processed,Y - Authenticated,Yes,143.61.71.107,Desktop Web,Yes,391,2026-10-03,ORD-202608-100709,2026-08-29 17:54:14,Adjustable Dumbbell Set,Sports,SPT-1187-BLU,2,195.5,391,NGN,Completed,Delivered,UPS,DH3540605727,2026-08-30,2026-08-30,2026-08-31,Yes - OTP Confirmed,N/A,Jl. Asia Afrika No. 8,Bandung,West Java,40111,ID,Yes,7665434528917652498,Ananya Chen,ananya.chen@gmail.com,62540936086,2023-02-03,Yes,Active,47,6285.26,133.73,ORD-202603-618082,2026-03-30,0,0,0,Low
